latestAction,number,originChamber,title,type,updateDate,updateDateIncludingText
"{'actionDate': '2021-04-22', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",1338,Senate,Equal Access to Justice for Victims of Gun Violence Act,S,2023-01-11,2023-01-11T13:49:12Z
"{'actionDate': '2021-04-15', 'text': 'Read twice and referred to the Committee on the Judiciary. (Sponsor introductory remarks on measure: CR S1985)'}",1155,Senate,Virginia Plan to Reduce Gun Violence Act of 2021,S,2023-01-11,2023-01-11T13:49:20Z
"{'actionDate': '2021-03-25', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",974,Senate,Gun Records Restoration and Preservation Act,S,2023-01-11,2023-01-11T13:47:34Z
"{'actionDate': '2021-03-16', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",770,Senate,Handgun Purchaser Licensing Act,S,2023-01-11,2023-01-11T13:47:41Z
"{'actionDate': '2021-03-11', 'text': 'Read twice and referred to the Committee on Homeland Security and Governmental Affairs.'}",702,Senate,Gun Owner Registration Information Protection Act,S,2023-01-11,2023-01-11T13:47:44Z
"{'actionDate': '2021-03-04', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",167,House,To prohibit the transfer of a firearm at a gun show by a person who is not a federally licensed firearms dealer.,HR,2023-01-11,2023-01-11T13:43:41Z
"{'actionDate': '2021-03-03', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",556,Senate,Resources for Victims of Gun Violence Act of 2021,S,2023-01-11,2023-01-11T13:47:49Z
"{'actionDate': '2021-03-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",137,House,Mental Health Access and Gun Violence Prevention Act of 2021,HR,2023-01-11,2023-01-11T13:43:42Z
"{'actionDate': '2021-03-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",125,House,Gun Safety: Not Sorry Act of 2021,HR,2023-01-11,2023-01-11T13:43:43Z
"{'actionDate': '2021-03-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",121,House,Gun Violence Reduction Resources Act of 2021,HR,2023-01-11,2023-01-11T13:43:43Z
"{'actionDate': '2021-03-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",30,House,Gun Trafficking Prohibition Act,HR,2023-03-08,2023-03-08T19:59:18Z
"{'actionDate': '2021-02-08', 'text': 'Read twice and referred to the Committee on Health, Education, Labor, and Pensions.'}",281,Senate,Gun Violence Prevention Research Act of 2021,S,2023-01-11,2023-01-11T13:46:37Z
"{'actionDate': '2021-02-08', 'text': 'Referred to the Subcommittee on Health.'}",881,House,To require the Surgeon General of the Public Health Service to submit to Congress an annual report on the effects of gun violence on public health.,HR,2023-01-11,2023-01-11T13:46:51Z
"{'actionDate': '2021-02-05', 'text': 'Referred to the Subcommittee on Health.'}",825,House,Gun Violence Prevention Research Act of 2021,HR,2023-01-11,2023-01-11T13:46:53Z
"{'actionDate': '2021-02-04', 'text': 'Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.'}",545,House,No Congressional Gun Loophole Act,HR,2023-01-11,2023-01-11T13:43:26Z
"{'actionDate': '2020-12-29', 'text': 'Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.'}",9053,House,No Congressional Gun Loophole Act,HR,2023-01-11,2023-01-11T13:43:56Z
"{'actionDate': '2020-11-27', 'text': 'Referred to the House Committee on the Judiciary.'}",8821,House,Keeping Guns From Criminals Act,HR,2023-01-11,2023-01-11T13:44:14Z
"{'actionDate': '2020-07-22', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",4271,Senate,Virginia Plan to Reduce Gun Violence Act of 2020,S,2023-01-11,2023-01-11T13:45:37Z
"{'actionDate': '2020-07-01', 'text': 'Referred to the House Committee on the Judiciary.'}",7468,House,Stop Home Manufacture of Ghost Guns Act of 2020,HR,2023-01-11,2023-01-11T13:46:02Z
"{'actionDate': '2020-06-23', 'text': 'Referred to the Committee on the Judiciary. (text: CR S3159)'}",40,Senate,A concurrent resolution expressing the sense of Congress that undue restrictions on the right of law-abiding gun owners to carry a firearm for self-defense outside of the home violate the Second Amendment to the Constitution of the United States.,SCONRES,2023-01-11,2023-01-11T13:46:06Z
"{'actionDate': '2020-06-23', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",4040,Senate,Gun Owner Privacy Act,S,2023-01-11,2023-01-11T13:46:10Z
"{'actionDate': '2020-06-04', 'text': 'Referred to the House Committee on the Judiciary.'}",993,House,"Expressing support for the designation of June 2020 as ""National Gun Violence Awareness Month"", and calling on Congress to address gun violence.",HRES,2023-01-11,2023-01-11T13:46:20Z
"{'actionDate': '2020-05-22', 'text': 'Referred to the House Committee on the Judiciary.'}",977,House,"Expressing support for the designation of June 5, 2020, as ""National Gun Violence Awareness Day"" and June 2020 as ""National Gun Violence Awareness Month"".",HRES,2023-01-11,2023-01-11T13:42:46Z
"{'actionDate': '2020-05-20', 'text': 'Referred to the Committee on the Judiciary. (text: CR S2556)'}",592,Senate,"A resolution expressing support for the designation of June 5, 2020, as ""National Gun Violence Awareness Day"" and June 2020 as ""National Gun Violence Awareness Month"".",SRES,2023-01-03,2023-01-03T13:09:59Z
"{'actionDate': '2020-03-10', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",5917,House,Gun Records Restoration and Preservation Act,HR,2022-02-08,2022-02-08T23:15:48Z
"{'actionDate': '2020-03-10', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",5866,House,Gun Trafficker Detection Act,HR,2022-02-08,2022-02-08T23:17:43Z
"{'actionDate': '2020-03-10', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",5836,House,Prosecuting Gun Crimes Saves Lives Act,HR,2022-02-09,2022-02-09T01:42:31Z
"{'actionDate': '2020-03-10', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",5717,House,Gun Violence Prevention and Community Safety Act of 2020,HR,2022-07-25,2022-07-25T16:27:14Z
"{'actionDate': '2020-02-27', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",3348,Senate,Crime Gun Tracing Modernization Act of 2020,S,2022-02-09,2022-02-09T00:29:00Z
"{'actionDate': '2020-02-27', 'text': 'Referred to the House Committee on the Judiciary.'}",6006,House,Crime Gun Tracing Modernization Act of 2020,HR,2022-02-08,2022-02-08T23:54:43Z
"{'actionDate': '2020-02-05', 'text': 'Read twice and referred to the Committee on Finance.'}",3254,Senate,Gun Violence Prevention and Community Safety Act of 2020,S,2022-07-25,2022-07-25T16:27:14Z
"{'actionDate': '2020-01-30', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",5385,House,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to authorize the Attorney General to make grants to States and units of local government to deploy and implement gunfire detection and location technology, and for other purposes.",HR,2022-10-28,2022-10-28T01:46:00Z
"{'actionDate': '2019-12-19', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",5181,House,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to authorize the Attorney General to make grants to States and units of local government to deploy and implement gunfire detection and location technology, and for other purposes.",HR,2022-10-28,2022-10-28T02:00:27Z
"{'actionDate': '2019-12-17', 'text': 'Read twice and referred to the Committee on Commerce, Science, and Transportation.'}",3065,Senate,Safe Gun Storage Act of 2019,S,2022-10-28,2022-10-28T01:45:53Z
"{'actionDate': '2019-11-15', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",4784,House,"To require the National Institute of Justice to update its research report, entitled ""A Review of Gun Safety Technologies"".",HR,2022-11-01,2022-11-01T04:17:47Z
"{'actionDate': '2019-11-15', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",4730,House,Advancing Gun Safety Technology Act of 2019,HR,2022-11-01,2022-11-01T03:47:35Z
"{'actionDate': '2019-11-15', 'text': 'Referred to the House Committee on Financial Services.'}",5132,House,Gun Violence Prevention Through Financial Intelligence Act,HR,2022-10-28,2022-10-28T02:00:30Z
"{'actionDate': '2019-10-17', 'text': 'Referred to the Subcommittee on Consumer Protection and Commerce.'}",4691,House,Safe Gun Storage Act of 2019,HR,2022-11-01,2022-11-01T13:49:39Z
"{'actionDate': '2019-09-11', 'text': 'Referred to the Subcommittee on Consumer Protection and Commerce.'}",4271,House,Gun Suicide Prevention Act,HR,2022-11-01,2022-11-01T13:50:05Z
"{'actionDate': '2019-08-28', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",4116,House,Prevent Gun Trafficking Act,HR,2022-11-01,2022-11-01T13:50:15Z
"{'actionDate': '2019-08-12', 'text': 'Referred to the Subcommittee on Health.'}",4177,House,Gun Safety Board and Research Act of 2019,HR,2022-11-01,2022-11-01T13:50:10Z
"{'actionDate': '2019-07-30', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",3552,House,Unlawful Gun Buyer Alert Act,HR,2022-11-01,2022-11-01T13:50:49Z
"{'actionDate': '2019-07-30', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",3285,House,Handgun Purchaser Licensing Act,HR,2022-11-01,2022-11-01T07:02:31Z
"{'actionDate': '2019-07-30', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",3606,House,High Speed Gunfire Prevention Act,HR,2022-11-01,2022-11-01T13:50:46Z
"{'actionDate': '2019-06-28', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",3265,House,3D Printed Gun Safety Act of 2019,HR,2022-11-01,2022-11-01T13:51:06Z
"{'actionDate': '2019-06-28', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",3234,House,Keeping Gun Dealers Honest Act of 2019,HR,2022-11-01,2022-11-01T07:02:32Z
"{'actionDate': '2019-06-28', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",3214,House,Equal Access to Justice for Victims of Gun Violence Act,HR,2022-11-01,2022-11-01T07:02:34Z
