enddate,samplesize,results,favorability_r,favorability_d
10/18/2016,1007.0,1,-8.84167,-2.9985399999999984
10/18/2016,1007.0,1,-8.84167,-2.839489999999998
10/24/2016,1000.0,1,-10.637079999999996,-3.041879999999999
10/24/2016,1000.0,1,-10.637079999999996,-3.076979999999999
10/24/2016,1000.0,1,-10.637079999999996,-2.9609299999999976
10/21/2016,990.0,1,-8.905549999999998,-4.94699
10/21/2016,990.0,1,-8.905549999999998,-5.085830000000001
10/21/2016,990.0,1,-8.905549999999998,-4.943629999999999
10/24/2016,724.0,1,-13.74778,-8.081780000000002
10/24/2016,724.0,1,-13.74778,-7.955970000000001
10/24/2016,724.0,1,-13.74778,-8.121589999999998
10/23/2016,779.0,1,-6.7405199999999965,-2.1660699999999977
10/23/2016,779.0,1,-6.7405199999999965,-2.4522400000000038
10/23/2016,779.0,1,-6.7405199999999965,-2.1924100000000024
10/24/2016,900.0,1,-10.130650000000005,-1.4417600000000022
10/24/2016,900.0,1,-10.130650000000005,-1.5763999999999996
10/24/2016,900.0,1,-10.130650000000005,-1.642000000000003
10/16/2016,726.0,1,-10.198810000000002,-1.226469999999999
10/16/2016,726.0,1,-10.198810000000002,-1.5026999999999973
10/16/2016,726.0,1,-10.198810000000002,-1.298009999999998
10/26/2016,1050.0,1,-11.22598,-5.810670000000002
10/26/2016,1050.0,1,-11.22598,-5.833069999999999
10/26/2016,1050.0,1,-11.22598,-5.564360000000001
10/14/2016,845.0,1,-12.84015,-5.325110000000002
10/14/2016,845.0,1,-12.84015,-5.503520000000002
10/14/2016,845.0,1,-12.84015,-5.306739999999998
10/13/2016,1101.0,1,-7.731549999999999,-3.904200000000003
10/13/2016,1101.0,1,-7.731549999999999,-4.197470000000003
10/13/2016,1101.0,1,-7.731549999999999,-3.9007799999999975
10/18/2016,1029.0,1,-8.872549999999997,-1.8358199999999985
10/18/2016,1029.0,1,-8.872549999999997,-2.2011499999999984
10/18/2016,1029.0,1,-8.872549999999997,-2.006999999999998
10/16/2016,778.0,1,-9.59447,-3.003999999999998
10/16/2016,778.0,1,-9.59447,-3.155619999999999
10/16/2016,778.0,1,-9.59447,-2.896639999999998
10/20/2016,1006.0,1,-9.34767,-3.82047
10/20/2016,1006.0,1,-9.34767,-4.292459999999998
10/20/2016,1006.0,1,-9.34767,-4.075719999999997
10/17/2016,692.0,1,-12.11186,-1.6444199999999969
10/17/2016,692.0,1,-12.11186,-1.86768
10/17/2016,692.0,1,-12.11186,-1.5043799999999976
10/13/2016,1000.0,1,-8.648429999999998,-2.668120000000002
10/13/2016,1000.0,1,-8.648429999999998,-2.8848699999999994
10/13/2016,1000.0,1,-8.648429999999998,-2.7624100000000027
10/23/2016,569.0,1,-8.006680000000003,-5.050989999999999
10/23/2016,569.0,1,-8.006680000000003,-5.205350000000003
10/23/2016,569.0,1,-8.006680000000003,-5.064410000000002
10/13/2016,905.0,1,-9.721890000000002,-2.6972999999999985
10/13/2016,905.0,1,-9.721890000000002,-2.66216
10/13/2016,905.0,1,-9.721890000000002,-2.740479999999998
10/17/2016,912.0,1,-8.671199999999999,-4.191220000000001
10/17/2016,912.0,1,-8.671199999999999,-4.354869999999998
10/17/2016,912.0,1,-8.671199999999999,-4.180439999999997
10/11/2016,953.0,1,-9.413179999999995,-6.590730000000001
10/11/2016,953.0,1,-9.413179999999995,-6.8295400000000015
10/11/2016,953.0,1,-9.413179999999995,-6.598700000000001
9/24/2016,1002.0,1,-5.109699999999997,-7.20572
9/24/2016,1002.0,1,-5.109699999999997,-7.121859999999998
9/24/2016,1002.0,1,-5.109699999999997,-7.2373699999999985
10/10/2016,3616.0,1,-7.785580000000003,-3.601509999999997
10/10/2016,3616.0,1,-7.785580000000003,-3.7534899999999993
10/10/2016,3616.0,1,-7.785580000000003,-3.6607600000000033
10/6/2016,1064.0,1,-8.485660000000003,-4.01334
10/6/2016,1064.0,1,-8.485660000000003,-4.245170000000002
10/6/2016,1064.0,1,-8.485660000000003,-4.061810000000001
10/29/2016,1165.0,1,-6.001269999999998,-5.77458
10/29/2016,1165.0,1,-6.001269999999998,-5.94209
10/29/2016,1165.0,1,-6.001269999999998,-5.955779999999997
10/2/2016,1213.0,1,-7.989460000000001,-2.7083000000000013
10/2/2016,1213.0,1,-7.989460000000001,-2.998469999999997
10/2/2016,1213.0,1,-7.989460000000001,-2.749209999999998
9/27/2016,1529.0,1,-8.48292,-4.483609999999999
9/27/2016,1529.0,1,-8.48292,-4.4148
9/27/2016,1529.0,1,-8.48292,-4.316409999999998
9/25/2016,2516.0,1,-12.52301,-6.276020000000003
9/25/2016,2516.0,1,-12.52301,-6.454300000000004
9/25/2016,2516.0,1,-12.52301,-6.7097399999999965
9/25/2016,729.0,1,-6.357520000000001,-3.4057999999999997
9/25/2016,729.0,1,-6.357520000000001,-3.536369999999998
9/25/2016,729.0,1,-6.357520000000001,-3.4932000000000016
10/28/2016,1160.0,1,-5.7361099999999965,-5.8319800000000015
10/28/2016,1160.0,1,-5.7361099999999965,-6.020829999999997
10/28/2016,1160.0,1,-5.7361099999999965,-6.016199999999998
10/9/2016,886.0,1,-10.2626,-3.3308600000000013
10/9/2016,886.0,1,-10.2626,-3.56118
10/9/2016,886.0,1,-10.2626,-3.192450000000001
9/20/2016,758.0,1,-8.363729999999997,-4.569330000000001
9/20/2016,758.0,1,-8.363729999999997,-4.642980000000001
