end_date,samplesize,results,favorability_r,favorability_d
2023-02-28,1500.0,0,-29.667399999999994,-21.000600000000002
2023-02-28,1302.0,0,-32.3341,-14.333899999999996
2023-02-28,1302.0,0,-32.3341,-16.000600000000002
2023-02-28,1302.0,0,-32.3341,-21.000600000000002
2023-02-28,19686.0,0,-27.6674,-14.333899999999996
2023-02-28,19686.0,0,-27.6674,-16.000600000000002
2023-02-28,19686.0,0,-27.6674,-21.000600000000002
2023-02-27,2424.0,0,-0.7335599999999971,-7.833710000000011
2023-02-27,2424.0,0,-0.7335599999999971,-21.334
2023-02-27,1000.0,0,-33.0008,-7.833710000000011
2023-02-27,1000.0,0,-33.0008,-21.334
2023-02-27,1000.0,0,-10.000499999999999,-7.833710000000011
2023-02-27,1000.0,0,-10.000499999999999,-21.334
2023-02-26,1993.0,0,-32.667500000000004,-13.667100000000005
2023-02-26,1993.0,0,-32.667500000000004,-22.334
2023-02-26,1993.0,0,-32.667500000000004,-9.000399999999999
2023-02-23,1023.0,0,-35.0008,-26.334099999999996
2023-02-23,1023.0,0,-35.0008,-19.6672
2023-02-21,1500.0,0,-22.6673,-12.333799999999997
2023-02-21,1500.0,0,-22.6673,-13.000500000000002
2023-02-21,1315.0,0,-27.334099999999996,-12.333799999999997
2023-02-21,1315.0,0,-27.334099999999996,-13.000500000000002
2023-02-20,2002.0,0,-4.666900000000002,-7.3337
2023-02-20,2002.0,0,-4.666900000000002,-4.666900000000002
2023-02-16,1838.0,0,-3.0002999999999993,-24.0006
2023-02-14,1500.0,0,-29.334099999999996,-19.000600000000002
2023-02-14,1500.0,0,-29.334099999999996,-18.0006
2023-02-14,1500.0,0,-29.334099999999996,-10.667199999999998
2023-02-14,1319.0,0,-29.334099999999996,-19.000600000000002
2023-02-14,1319.0,0,-29.334099999999996,-18.0006
2023-02-14,1319.0,0,-29.334099999999996,-10.667199999999998
2023-02-14,1429.0,0,-13.334,-19.000600000000002
2023-02-14,1429.0,0,-13.334,-18.0006
2023-02-14,1429.0,0,-13.334,-10.667199999999998
2023-02-13,998.0,0,-38.3343,-25.0007
2023-02-12,2009.0,0,-33.667500000000004,-22.000700000000002
2023-02-11,1056.0,0,-13.334000000000003,
2023-02-07,1500.0,0,-13.667099999999998,-19.0006
2023-02-07,1500.0,0,-13.667099999999998,-19.3339
2023-02-07,1294.0,0,-15.667200000000001,-19.0006
2023-02-07,1294.0,0,-15.667200000000001,-19.3339
2023-02-05,2014.0,0,-29.000799999999998,-18.667300000000004
2023-02-05,2014.0,0,-29.000799999999998,-14.667200000000005
2023-01-31,1500.0,0,-28.667399999999997,-18.667300000000004
2023-01-31,1500.0,0,-28.667399999999997,-18.6673
2023-01-31,1319.0,0,-26.667399999999994,-18.667300000000004
2023-01-31,1319.0,0,-26.667399999999994,-18.6673
2023-01-30,1068.0,0,-51.334500000000006,-22.667299999999997
2023-01-25,1024.0,0,-47.001000000000005,-32.667500000000004
2023-01-25,1024.0,0,-47.001000000000005,-17.6672
2023-01-24,1500.0,0,-31.0007,-20.000700000000002
2023-01-24,1500.0,0,-31.0007,-23.000799999999998
2023-01-24,1500.0,0,-31.0007,-19.000600000000002
2023-01-24,1500.0,0,-31.0007,-17.667200000000005
2023-01-24,1330.0,0,-35.0008,-20.000700000000002
2023-01-24,1330.0,0,-35.0008,-23.000799999999998
2023-01-24,1330.0,0,-35.0008,-19.000600000000002
2023-01-24,1330.0,0,-35.0008,-17.667200000000005
2023-01-24,1000.0,0,-39.0009,-20.000700000000002
2023-01-24,1000.0,0,-39.0009,-23.000799999999998
2023-01-24,1000.0,0,-39.0009,-19.000600000000002
2023-01-24,1000.0,0,-39.0009,-17.667200000000005
2023-01-23,1000.0,0,-30.000800000000005,-29.000800000000005
2023-01-22,1990.0,0,-28.3341,-24.0007
2023-01-22,1990.0,0,-28.3341,-12.667199999999998
2023-01-22,1004.0,0,-20.6677,-24.0007
2023-01-22,1004.0,0,-20.6677,-12.667199999999998
2023-01-22,0.0,0,-21.3344,-24.0007
2023-01-22,0.0,0,-21.3344,-12.667199999999998
2023-01-20,2529.0,0,-12.000450000000004,-10.433780000000002
2023-01-20,2529.0,0,-12.000450000000004,-22.334
2023-01-20,2529.0,0,-12.000450000000004,-8.667099999999998
2023-01-20,2529.0,0,-12.000450000000004,-7.333699999999997
2023-01-20,1000.0,0,-19.3343,-10.433780000000002
2023-01-20,1000.0,0,-19.3343,-22.334
2023-01-20,1000.0,0,-19.3343,-8.667099999999998
2023-01-20,1000.0,0,-19.3343,-7.333699999999997
2023-01-20,790.0,0,-17.334200000000003,-10.433780000000002
2023-01-20,790.0,0,-17.334200000000003,-22.334
2023-01-20,790.0,0,-17.334200000000003,-8.667099999999998
2023-01-20,790.0,0,-17.334200000000003,-7.333699999999997
2023-01-19,2050.0,0,-8.667000000000002,-27.000699999999995
2023-01-19,2050.0,0,-8.667000000000002,-16.000500000000002
2023-01-18,909.0,0,-22.000700000000002,-17.6672
2023-01-17,1500.0,0,-12.3338,-8.3338
2023-01-17,1500.0,0,-12.3338,-11.667200000000005
2023-01-17,1314.0,0,-10.000399999999999,-8.3338
2023-01-17,1314.0,0,-10.000399999999999,-11.667200000000005
2023-01-11,2010.0,0,-34.0008,-23.6673
2023-01-11,2010.0,0,-34.0008,-15.000500000000002
2023-01-10,1500.0,0,-32.33409999999999,-7.000399999999999
2023-01-10,1500.0,0,-32.33409999999999,-8.000399999999999
2023-01-10,1356.0,0,-31.334100000000003,-7.000399999999999
2023-01-10,1356.0,0,-31.334100000000003,-8.000399999999999
2023-01-09,1000.0,0,-38.0009,-21.0006
2023-01-08,1035.0,0,-39.001,-14.667200000000001
2023-01-08,1035.0,0,-39.001,-26.3341
2023-01-03,1500.0,0,-28.667399999999997,-15.3339
2023-01-03,1500.0,0,-28.667399999999997,-11.667200000000001
2023-01-03,1301.0,0,-28.667399999999997,-15.3339
2023-01-03,1301.0,0,-28.667399999999997,-11.667200000000001
2022-12-24,2000.0,0,-14.000699999999998,-6.666999999999998
2022-12-20,1500.0,0,-22.334000000000003,-12.333799999999997
2022-12-20,1500.0,0,-22.334000000000003,-11.333800000000004
2022-12-20,1321.0,0,-28.667399999999997,-12.333799999999997
2022-12-20,1321.0,0,-28.667399999999997,-11.333800000000004
2022-12-19,2001.0,0,-8.667099999999998,-6.666999999999998
2022-12-19,2001.0,0,-8.667099999999998,-18.000600000000006
2022-12-19,2001.0,0,-8.667099999999998,-20.000700000000002
2022-12-19,2001.0,0,-8.667099999999998,-13.667199999999998
2022-12-19,1555.0,0,-30.667499999999997,-6.666999999999998
2022-12-19,1555.0,0,-30.667499999999997,-18.000600000000006
2022-12-19,1555.0,0,-30.667499999999997,-20.000700000000002
2022-12-19,1555.0,0,-30.667499999999997,-13.667199999999998
2022-12-19,1043.0,0,-27.334099999999996,-6.666999999999998
2022-12-19,1043.0,0,-27.334099999999996,-18.000600000000006
2022-12-19,1043.0,0,-27.334099999999996,-20.000700000000002
2022-12-19,1043.0,0,-27.334099999999996,-13.667199999999998
2022-12-15,1851.0,0,-8.3337,-22.000600000000002
2022-12-14,1021.0,0,-43.001,-18.3339
2022-12-14,1021.0,0,-43.001,-13.000500000000002
2022-12-14,1021.0,0,-43.001,-23.0007
2022-12-14,1021.0,0,-43.001,-18.3339
2022-12-14,1021.0,0,-43.001,-21.0006
2022-12-14,1021.0,0,-43.001,-13.333899999999996
2022-12-14,1021.0,0,-46.667699999999996,-18.3339
2022-12-14,1021.0,0,-46.667699999999996,-13.000500000000002
2022-12-14,1021.0,0,-46.667699999999996,-23.0007
2022-12-14,1021.0,0,-46.667699999999996,-18.3339
2022-12-14,1021.0,0,-46.667699999999996,-21.0006
2022-12-14,1021.0,0,-46.667699999999996,-13.333899999999996
2022-12-14,6212.0,0,-57.667899999999996,-18.3339
2022-12-14,6212.0,0,-57.667899999999996,-13.000500000000002
2022-12-14,6212.0,0,-57.667899999999996,-23.0007
2022-12-14,6212.0,0,-57.667899999999996,-18.3339
2022-12-14,6212.0,0,-57.667899999999996,-21.0006
2022-12-14,6212.0,0,-57.667899999999996,-13.333899999999996
2022-12-13,1500.0,0,-34.667500000000004,-12.667199999999994
2022-12-13,1500.0,0,-34.667500000000004,-16.000600000000002
2022-12-13,1338.0,0,-35.667500000000004,-12.667199999999994
2022-12-13,1338.0,0,-35.667500000000004,-16.000600000000002
2022-12-12,2005.0,0,-9.333799999999997,-5.333600000000001
2022-12-12,2005.0,0,-9.333799999999997,-25.6673
2022-12-12,2005.0,0,-9.333799999999997,-6.667000000000002
2022-12-12,2005.0,0,-9.333799999999997,-4.000199999999996
2022-12-12,1005.0,0,-29.000700000000002,-5.333600000000001
2022-12-12,1005.0,0,-29.000700000000002,-25.6673
2022-12-12,1005.0,0,-29.000700000000002,-6.667000000000002
2022-12-12,1005.0,0,-29.000700000000002,-4.000199999999996
2022-12-12,1614.0,0,-15.3341,-5.333600000000001
2022-12-12,1614.0,0,-15.3341,-25.6673
2022-12-12,1614.0,0,-15.3341,-6.667000000000002
2022-12-12,1614.0,0,-15.3341,-4.000199999999996
2022-12-12,1456.0,0,-14.667399999999997,-5.333600000000001
2022-12-12,1456.0,0,-14.667399999999997,-25.6673
2022-12-12,1456.0,0,-14.667399999999997,-6.667000000000002
2022-12-12,1456.0,0,-14.667399999999997,-4.000199999999996
2022-12-11,1000.0,0,-21.401069999999997,-2.9334799999999994
2022-12-07,750.0,0,-44.001,-27.667499999999997
2022-12-07,750.0,0,-44.001,-6.667000000000002
2022-12-07,750.0,0,-44.001,-4.666900000000002
2022-12-07,1208.0,0,-19.334299999999995,-27.667499999999997
2022-12-07,1208.0,0,-19.334299999999995,-6.667000000000002
2022-12-07,1208.0,0,-19.334299999999995,-4.666900000000002
2022-12-07,0.0,0,-20.6677,-27.667499999999997
2022-12-07,0.0,0,-20.6677,-6.667000000000002
2022-12-07,0.0,0,-20.6677,-4.666900000000002
2022-12-06,1500.0,0,-41.6676,-21.334
2022-12-06,1500.0,0,-41.6676,-22.6673
2022-12-06,1332.0,0,-38.0009,-21.334
2022-12-06,1332.0,0,-38.0009,-22.6673
2022-12-05,1989.0,0,-10.000500000000002,-6.000299999999999
2022-12-05,1989.0,0,-10.000500000000002,-16.333900000000003
2022-12-05,1989.0,0,-10.000500000000002,-13.667200000000005
