Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
1173476,27-Jul-18,Texas,Robstown,603 East Ave J,4,0,1,0,0,N/A
1173637,27-Jul-18,Illinois,Chicago,1100 block of S Troy St,0,4,0,0,0,N/A
1172224,26-Jul-18,Ohio,Cleveland,18416 St Clair Ave,1,6,0,0,2,N/A
1173069,26-Jul-18,California,Oakland,73rd Ave and Bancroft Ave,2,2,0,0,0,N/A
1172403,26-Jul-18,Texas,Dallas,3019 South Blvd,0,6,0,0,0,N/A
1172333,25-Jul-18,Louisiana,New Orleans,7000 block of Bullard Ave,0,4,0,0,1,N/A
1170482,23-Jul-18,Illinois,Chicago,6400 block of S May St,0,5,0,0,0,N/A
1168828,21-Jul-18,Maryland,Baltimore,1000 block of Dundalk Ave,0,4,0,0,0,N/A
1169103,21-Jul-18,Illinois,Chicago,3100 block of W Fulton St,2,5,0,0,0,N/A
1169656,20-Jul-18,Washington,Sunnyside,500 block of S 15th St,1,4,0,0,0,N/A
1167806,20-Jul-18,New Jersey,Elizabeth,323 Irvington Ave,0,4,0,0,0,N/A
1166302,18-Jul-18,Oklahoma,Oklahoma City,7201 Melrose Ln,0,4,0,0,4,N/A
1165214,16-Jul-18,Florida,Palm Beach Gardens (Riviera Beach),2100 block of W 28th St,2,4,0,0,0,N/A
1165299,16-Jul-18,Pennsylvania,Philadelphia,2100 block of N 4th St,1,4,0,0,0,N/A
1165183,16-Jul-18,District of Columbia,Washington,300 block of 53rd St NE,1,4,0,0,10,N/A
1164167,15-Jul-18,Colorado,Denver,50th Ave and Grant St,0,4,0,0,0,N/A
1164110,15-Jul-18,Tennessee,Chattanooga,1400 Cowart St,0,5,0,0,0,N/A
1163947,14-Jul-18,Maryland,Fort Washington,9500 block of Fort Foote Rd,0,4,0,0,0,N/A
1162785,13-Jul-18,Virginia,Richmond,1401 Roseneath Rd,1,3,0,0,0,N/A
1162687,12-Jul-18,Tennessee,Memphis,3678 Powers Rd,0,5,0,0,0,N/A
1162437,11-Jul-18,Texas,Houston,9550 Bissonnet St,0,4,0,0,0,N/A
1161230,11-Jul-18,Florida,Reddick,16300 block of NW Gainesville Rd,0,4,0,0,0,N/A
1159820,9-Jul-18,Florida,Orlando,Southland Blvd and Orange Blossom Trail,1,4,0,0,2,N/A
1160253,9-Jul-18,Delaware,Wilmington,2709 Ferris Rd,4,0,1,0,0,N/A
1160418,8-Jul-18,Alabama,Brandon,565 US-80,0,5,0,1,0,N/A
1159528,8-Jul-18,Tennessee,Memphis,Mount Moriah Rd and Mendenhall Rd,0,4,0,0,0,N/A
